代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),季度,16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億)
4953,緯軟,92.6,-0.8,-0.86,0.13,0.06,0.08,0.06,0.5,0.05,0.08,0.16,0.24,0.08,0.04,0,0.17,2019Q1,,,,,,,,,,,,
4966,譜瑞-KY,519,-15,-2.81,0.6,-0.01,0.17,0.36,0.56,0.39,0.63,0.76,0.8,0.79,0.93,0.99,0.84,2019Q1,,,,,,,,,,,,
4972,湯石照明,20.7,+1.85,+9.81,0.11,-0.05,-0.04,-0.07,0.03,-0.05,-0.11,-0.01,0.91,0.22,0.19,0.13,0.18,2019Q1,,,,,,,,,,,,
4973,廣穎,24.55,-0.35,-1.41,0.27,0.15,0.17,1.33,0.11,-0.01,0.11,0.86,-0.1,0.14,0.04,0.37,0.02,2019Q1,,,,,,,,,,,,
4974,亞泰,92.8,-2.7,-2.83,0.4,0.52,0.94,0.8,-0.21,0.14,0.6,0.39,-0.02,0.47,0.37,0.09,0.65,2019Q1,,,,,,,,,,,,
4979,華星光,145,-1,-0.68,0.05,0.03,0.03,0.11,-0.2,-0.01,0.02,0.16,-0.18,0.22,0.17,-0.03,0.23,2019Q1,,,,,,,,,,,,
4987,科誠,71.9,-0.6,-0.83,0.06,0.14,0.01,0.09,0.07,0.07,0.01,0.08,-0.04,0.07,0.12,0.07,0.01,2019Q1,,,,,,,,,,,,
4995,晶達,58,-0.6,-1.02,0.06,0.13,0.11,0.39,-0.13,-0.03,0.08,0.08,-0.14,0.12,0.05,-0.07,0.12,2019Q1,,,,,,,,,,,,
5009,榮剛,42.55,+0.4,+0.95,1.66,0.04,0.35,1.26,0.12,0.75,1.01,0.42,3.04,0.68,4.66,8.14,-0.57,2019Q1,,,,,,,,,,,,
5013,強新,29,+0.2,+0.69,-0.05,0.01,-0.02,0.1,-0.26,-0.14,-0.05,0.03,-0.35,0.03,0.09,-0.08,0.11,2019Q1,,,,,,,,,,,,
5014,建錩,13.4,0,0,0.14,-0.22,-0.27,0.74,-0.98,-0.38,0.5,0.73,-1.01,1.15,0.85,-0.91,1.45,2019Q1,,,,,,,,,,,,
5015,華祺,36.4,-0.55,-1.49,0.16,0.31,0.3,0.64,-0.41,-0.06,0.36,0.42,-0.54,0.56,0.22,-0.36,0.45,2019Q1,,,,,,,,,,,,
5016,松和,25.9,+0.05,+0.19,-0.02,0,-0.1,-0.23,0.08,-0.03,-0.07,0.03,0.04,-0.03,-0.08,0.12,0.03,2019Q1,,,,,,,,,,,,
5201,凱衛,49.5,+4.5,+10,0.14,0.06,-0.12,0.04,0.23,0.4,0.24,0.02,0.07,0.16,0.26,-0.03,0.38,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
5202,力新,22.2,-0.9,-3.9,0.37,0.07,-0.11,0.02,0.05,0.05,0.35,0.21,1.85,0.15,2.14,-0.01,-0.27,2019Q1,,,,,,,,,,,,
5206,坤悅,36.3,0,0,0.07,0,0.01,0.01,0.04,-0.01,0.07,0.02,0.23,0.03,0.07,0.04,0.31,2019Q1,,,,,,,,,,,,
5209,新鼎,148,-0.5,-0.34,0.1,0.11,0.08,0.17,0.03,0.09,0.14,0.12,0.01,0.12,0.09,0.12,0.1,2019Q1,,,,,,,,,,,,
5212,凌網,51.8,+0.3,+0.58,-0.01,-0.02,0,-0.02,0.03,-0.02,0.01,0.06,0.01,-0.06,0.03,0,-0.08,2019Q1,,,,,,,,,,,,
5213,亞昕,31.6,-0.2,-0.63,-0.34,-0.51,-0.64,-0.56,1.6,0.23,-0.26,-0.44,0.93,-0.89,-0.87,-1.37,-1.27,2019Q1,,,,,,,,,,,,
5220,萬達光電,18.65,+0.05,+0.27,0.06,0.08,0.13,0.28,-0.12,-0.01,0.05,0.1,-0.01,0.08,0.06,-0.03,0.07,2019Q1,,,,,,,,,,,,
5230,雷笛克光學,20.45,+0.05,+0.25,-0.03,0.03,0.09,0.08,-0.65,-0.02,0.01,0.01,-0.02,0.04,0.03,-0.03,0.04,2019Q1,,,,,,,,,,,,
5236,凌陽創新,125.5,-2,-1.57,0.09,0.04,0.06,0.03,0.16,0.06,0.12,0.15,-0.02,0.21,0.13,-0.07,0.19,2019Q1,,,,,,,,,,,,
5251,天鉞電,41,-1.2,-2.84,0.02,0.04,0.07,0.07,-0.13,-0.01,0.03,0.04,-0.05,0.1,0.08,0.01,0.03,2019Q1,,,,,,,,,,,,
5263,智崴,94.2,-1.9,-1.98,0.23,0.31,-0.04,1.39,-0.03,0.07,0,0.32,-0.37,0.57,0.21,-0.09,0.44,2019Q1,,,,,,,,,,,,
5274,信驊,2790,-130,-4.45,0.44,0.44,0.17,1.54,-0.48,0.2,0.68,0.76,-0.49,0.82,0.53,-0.4,1.54,2019Q1,,,,,,,,,,,,
5276,達輝-KY,14.05,-0.1,-0.71,0.01,0,0.03,0.67,-0.47,-0.02,-0.04,0.05,-0.18,-0.01,0.04,0.08,-0.06,2019Q1,,,,,,,,,,,,
5278,尚凡*,29.3,-0.45,-1.51,0,0.05,0.12,0,-0.08,0,0.06,0.06,-0.18,0.23,0.12,0.07,-0.44,2019Q1,,,,,,,,,,,,
5287,數字,181,+1.5,+0.84,0.16,0.11,0.18,0.16,0.17,0.13,0.21,0.12,0.18,0.14,0.21,0.16,0.19,2019Q1,,,,,,,,,,,,
5289,宜鼎,233,0,0,0.37,0.65,0.79,1.41,-0.59,-0.06,0.5,0.69,-0.62,0.78,0.37,-0.11,0.67,2019Q1,,,,,,,,,,,,
5291,邑昇,24.1,0,0,0.02,0.08,0.08,0.14,-0.07,-0.03,0.05,0.04,-0.07,0.07,0.06,-0.11,0.04,2019Q1,,,,,,,,,,,,
5299,杰力,75.5,-2,-2.58,0.31,0.25,0.16,0.57,-0.12,0.21,0.43,0.69,-0.29,1.03,0.48,-0.08,0.35,2019Q1,,,,,,,,,,,,
5309,系統電,35.9,-0.9,-2.45,0.13,0.07,0.11,0.28,-0.12,-0.01,0.31,0.35,-0.02,0.24,0.19,-0.11,0.27,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
5310,天剛,46.7,0,0,0.12,0.01,-0.31,0.3,-0.05,0.38,0.17,-0.2,-0.02,0.45,0.05,0.71,-0.01,2019Q1,,,,,,,,,,,,
5312,寶島科,119,-2.5,-2.06,0.4,0.37,-0.3,0.43,-0.31,0.34,0.39,0.52,0.47,0.85,0.55,1.07,0.39,2019Q1,,,,,,,,,,,,
5314,世紀*,65.6,-0.9,-1.35,0.04,0,0.01,0.04,0.05,0.01,0.02,0.35,0,0.01,0.01,-0.03,0,2019Q1,,,,,,,,,,,,
5315,光聯,20.2,-0.3,-1.46,0.15,0.23,0.22,0.53,-0.11,-0.03,0.19,0.22,-0.18,0.27,0.15,0.07,0.19,2019Q1,,,,,,,,,,,,
5321,美而快,40.45,-0.85,-2.06,0,0.11,0.12,0.18,0.11,0.1,-0.01,-0.11,-0.02,-0.17,-0.12,-0.2,-0.05,2019Q1,,,,,,,,,,,,
5324,士開,10.5,+0.25,+2.44,-0.13,-0.1,0.07,-0.07,-0.33,-0.17,-0.25,-0.02,-0.14,-0.18,-0.16,-0.05,-0.15,2019Q1,,,,,,,,,,,,
5328,華容,12.75,-0.3,-2.3,0.16,0.12,0.2,0.56,0,-0.03,0.17,0.21,-0.1,0.15,0.15,-0.03,0.53,2019Q1,,,,,,,,,,,,
5340,建榮,30.3,-0.8,-2.57,0.05,0.09,0.15,0.18,-0.04,-0.03,0.04,0.13,-0.16,0.09,0.06,-0.02,0.1,2019Q1,,,,,,,,,,,,
5344,立衛,13,0,0,0.03,0.04,0.04,0.06,0.01,0.02,0.03,0.05,-0.01,0.05,0.04,0.01,0.07,2019Q1,,,,,,,,,,,,
5347,世界,91.8,-1.2,-1.29,4.79,0.83,1.97,3.19,4.45,3.35,4.02,3.76,19.5,3.62,4.22,4.49,4.08,2019Q1,,,,,,,,,,,,
5353,台林,26.5,-0.1,-0.38,0.08,0.02,0.06,0.13,0,0.03,0.15,0.17,-0.08,0.2,0.13,0.07,0.12,2019Q1,,,,,,,,,,,,
5356,協益,27.3,-0.05,-0.18,0.52,0.24,0.03,-0.35,-0.43,0.81,-0.27,0.06,5.22,0.87,0.37,-0.4,0.14,2019Q1,,,,,,,,,,,,
5371,中光電,62,-1.5,-2.36,1.98,3.18,3.74,2.22,1.09,2.16,2.81,0.51,1.09,1.03,2.68,1.03,2.16,2019Q1,,,,,,,,,,,,
5381,合正,17.9,-0.45,-2.45,0.03,0.04,0.05,0.06,0.11,-0.11,-0.1,0.18,0.01,-0.05,-0.04,-0.1,0.34,2019Q1,,,,,,,,,,,,
5386,青雲,60,-1.2,-1.96,-0.04,-0.08,-0.1,0.07,-0.12,-0.01,0.08,0.09,-0.24,0.16,-0.02,-0.2,-0.09,2019Q1,,,,,,,,,,,,
5392,能率,28.35,+0.05,+0.18,0.52,0.54,1.06,0.78,-0.78,0.45,1.58,0.24,-0.08,0.52,0.98,-0.02,1.01,2019Q1,,,,,,,,,,,,
5398,慕康生醫,16.85,+0.25,+1.51,0.02,0,0.04,0.05,-0.01,0,0.05,0.03,0.02,0.05,0.03,0,0.01,2019Q1,,,,,,,,,,,,
5403,中菲,120,-1,-0.83,0.14,0.1,0.07,0.22,0.05,0.04,0.08,0.24,0.2,0.12,0.17,0.03,0.41,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
5410,國眾,28.15,+0.05,+0.18,0.11,0.07,0.12,0.1,0.2,0.03,0.12,0.06,0.22,0.08,0.1,0.07,0.11,2019Q1,,,,,,,,,,,,
5425,台半,41.65,-1.15,-2.69,0.3,0.59,0.65,1.33,-0.34,0.05,0.5,0.7,-0.56,0.59,0.21,-0.22,0.13,2019Q1,,,,,,,,,,,,
5426,振發,22.1,-0.55,-2.43,0.29,0.29,0.59,0.67,-0.19,-0.03,0.46,0.15,-0.04,0.2,0.17,0.9,0.33,2019Q1,,,,,,,,,,,,
5432,新門,126,+2,+1.61,0.04,0.04,0.18,0.09,-0.13,0,0.03,0.09,0.02,0.01,0.04,0.01,0.05,2019Q1,,,,,,,,,,,,
5438,東友,18.35,-0.65,-3.42,0.3,0.07,0.14,1.08,0.09,0.1,0.23,0.77,-0.09,0.06,0.12,0.65,0.41,2019Q1,,,,,,,,,,,,
5439,高技,137,-15,-9.87,0.05,0.21,0.29,0.41,-0.17,-0.08,0.13,0.34,-0.47,0.38,0.04,-0.37,-0.06,2019Q1,,,,,,,,,,,,
5443,均豪,64.5,-2.1,-3.15,0.51,0.55,0.46,1.35,-0.24,-0.02,1.13,0.69,-0.4,0.8,0.85,0.47,0.5,2019Q1,,,,,,,,,,,,
5450,南良,14.8,-0.3,-1.99,0.1,0.14,0.18,0.33,-0.13,-0.08,0.15,0.19,-0.05,0.27,-0.05,0.05,0.23,2019Q1,,,,,,,,,,,,
5452,佶優,26.35,-0.6,-2.23,0.02,0.1,0.03,0.18,-0.11,-0.06,0.16,0.03,-0.05,0.09,0.03,-0.25,0.15,2019Q1,,,,,,,,,,,,
5455,昇益,37.9,+0.4,+1.07,-0.02,0.03,0.01,0,-0.01,-0.02,-0.01,-0.02,-0.11,0,-0.01,-0.1,0,2019Q1,,,,,,,,,,,,
5457,宣德,38.75,-1.4,-3.49,0.81,0.66,1.61,3.29,-2.07,-1.29,1.95,1.06,-0.08,1.21,1.2,0.1,2.15,2019Q1,,,,,,,,,,,,
5460,同協,12.5,+0.1,+0.81,0.03,0.03,0.04,0.04,-0.01,0.01,0.05,0.08,-0.05,0.1,0.06,-0.01,0.08,2019Q1,,,,,,,,,,,,
5464,霖宏,23.45,+0.7,+3.08,0.75,1.17,1.42,2.88,-1.1,-0.1,1.27,1.97,-1.48,1.72,0.69,-0.42,1.02,2019Q1,,,,,,,,,,,,
5465,富驊,31.25,-0.55,-1.73,0.12,0.2,0.42,0.34,-0.12,0.03,0.18,0.13,-0.05,0.12,0.23,0,0,2019Q1,,,,,,,,,,,,
5474,聰泰,135.5,-6,-4.24,0.09,0.11,0.14,0.17,-0.01,0.02,0.1,0.11,-0.01,0.16,0.13,0.05,0.15,2019Q1,,,,,,,,,,,,
5478,智冠,101,-1.5,-1.46,0.5,0.18,0.18,0.35,0.55,0.4,0.35,0.4,0.42,0.46,1.87,0.37,0.49,2019Q1,,,,,,,,,,,,
5483,中美晶,100,-4,-3.85,-0.01,-55,-23.2,8.2,24.3,8.1,16.3,24.1,10.9,7.11,2.32,3.07,-26.3,2019Q1,,,,,,,,,,,,
5488,松普,8.43,-0.26,-2.99,0.11,-0.05,0.09,0.1,-0.01,-0.05,1.04,0.01,-0.01,0.07,0.06,-0.09,0.14,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
5489,彩富,49.8,+4.15,+9.09,0.25,0.52,0.56,0.98,-0.39,-0.01,0.31,0.43,-0.31,0.36,0.14,-0.12,0.51,2019Q1,,,,,,,,,,,,
5490,同亨,21.5,+1.2,+5.91,-0.24,0.09,-3.19,-0.08,0.03,0.02,0,-0.02,0.11,-0.03,0,0.08,0.08,2019Q1,,,,,,,,,,,,
5493,三聯,66.2,-1.2,-1.78,0.44,0.26,0.59,0.29,0.23,0.59,0.14,0.59,1.1,0.21,1.12,-0.19,0.33,2019Q1,,,,,,,,,,,,
5498,凱崴,8.84,-0.01,-0.11,0.38,-0.05,0.02,-0.01,1.19,3.82,0.12,0.3,-0.9,0.38,-0.1,-0.37,0.2,2019Q1,,,,,,,,,,,,
5508,永信建,129,-3.5,-2.64,0,0,0,0,0.01,0,0,-0.01,-0.02,0,-0.01,0,0,2019Q1,,,,,,,,,,,,
5511,德昌,55.4,-1.2,-2.12,0.18,0,-0.22,0,0.08,0.6,0.22,0.38,-0.12,0.2,0.23,0.3,0.45,2019Q1,,,,,,,,,,,,
5512,力麒,8.76,-0.06,-0.68,-0.64,-0.57,-0.71,-0.39,-0.83,-0.54,-0.83,-1.12,-0.29,-0.72,-0.51,-0.61,-0.56,2019Q1,,,,,,,,,,,,
5514,三豐,18.85,+0.35,+1.89,0.06,0,0,0.32,0.02,0.01,0.02,0.12,0.02,0.01,0.02,0.2,0.02,2019Q1,,,,,,,,,,,,
5520,力泰,77.6,-0.1,-0.13,0.12,0.06,0.07,0.14,0.08,0.1,0.12,0.1,0.13,0.12,0.17,0.04,0.33,2019Q1,,,,,,,,,,,,
5523,豐謙,29.75,-0.15,-0.5,0.42,4.54,0.01,0.22,0.02,-0.01,-0.01,0,-0.01,0.02,0.12,0.08,0.12,2019Q1,,,,,,,,,,,,
5530,龍巖,70.7,+0.2,+0.28,1.39,1.36,2.63,0.48,0.28,-0.32,2.31,2.41,-0.29,1.64,1.54,1.4,3.18,2019Q1,,,,,,,,,,,,
5536,聖暉*,344,+8,+2.38,0.67,0.34,-0.27,1.02,-0.11,0.54,0.58,1.06,0.34,1.08,0.89,1.11,1.42,2019Q1,,,,,,,,,,,,
5548,安倉,27.85,+0.35,+1.27,0.05,,0.07,0.08,0.02,0.06,0.06,0.05,0.03,0.01,0.07,0.02,0.04,2019Q1,,,,,,,,,,,,
5601,台聯櫃,35.2,-0.55,-1.54,0.01,0,0,0.05,0,0,0,0.06,0,0,0,0,0,2019Q1,,,,,,,,,,,,
5603,陸海,20.5,-0.05,-0.24,0.26,0.06,0.29,0.64,0.21,0.21,0.31,0.49,0.38,0.34,0.46,0.15,-0.37,2019Q1,,,,,,,,,,,,
5604,中連,37.05,+0.15,+0.41,0.2,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,2.27,0.02,2019Q1,,,,,,,,,,,,
5609,中菲行,76.5,-1.9,-2.42,0.5,0.31,1.4,1.67,-0.76,0.37,0.54,0.57,0.29,0.63,0.41,-0.12,0.66,2019Q1,,,,,,,,,,,,
5703,亞都,16.35,-0.15,-0.91,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
5704,老爺知,24.75,-0.4,-1.59,0.03,0.05,0.02,-0.05,0.01,0.03,0.11,0.03,0.22,0.07,0.08,-0.06,-0.12,2019Q1,,,,,,,,,,,,
5864,致和證,12.55,-0.15,-1.18,0.1,0.04,0.04,0.06,0.08,0.11,0.12,0.11,0.1,0.15,0.15,0.11,0.15,2019Q1,,,,,,,,,,,,
5878,台名,41.5,-0.1,-0.24,0.04,0,0.11,0.02,0.01,0.01,0.04,0.04,0.04,0.01,0.13,0.05,0.02,2019Q1,,,,,,,,,,,,
5902,德記,41.9,0,0,0.02,0.01,0,0.01,0.01,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.03,2019Q1,,,,,,,,,,,,
5903,全家,197.5,+1.5,+0.77,2.68,0.16,0.11,0.74,3.92,-0.29,-0.12,0.12,-0.23,0.03,0.03,27.6,0.11,2019Q1,,,,,,,,,,,,
5904,寶雅,479,-0.5,-0.1,-0.03,-0.18,-0.13,-0.18,-0.09,-0.12,-0.07,-0.18,-0.04,-0.07,0.41,0.02,0.22,2019Q1,,,,,,,,,,,,
6015,宏遠證,10.15,-0.05,-0.49,0.54,0.45,0.96,0.03,0.36,0.58,0.38,0.42,0.58,0.53,0.86,0.51,0.78,2019Q1,,,,,,,,,,,,
6016,康和證,11.35,-0.5,-4.22,0.59,0.19,0.4,0.45,0.35,0.5,0.78,0.76,0.6,0.65,0.78,1.03,0.65,2019Q1,,,,,,,,,,,,
6020,大展證,18.6,0,0,0.13,0.06,0.05,0.23,0.09,0.11,0.1,0.25,0.07,0.15,0.13,0.19,0.09,2019Q1,,,,,,,,,,,,
6021,美好證,23.35,+0.05,+0.21,0.16,0.08,0.12,0.1,0.15,0.15,0.19,0.2,0.2,0.19,0.28,0.26,-0.01,2019Q1,,,,,,,,,,,,
6023,元大期,80.6,-0.6,-0.74,6.09,1.29,2.28,4.36,3.81,4.93,7.99,6.83,7.1,8.21,6.56,9.84,9.87,2019Q1,,,,,,,,,,,,
6026,福邦證,12,-0.15,-1.23,0.05,0.01,0.01,0.04,0.02,0.04,0.08,0.05,0.02,-0.06,0.11,0.04,0.23,2019Q1,,,,,,,,,,,,
6101,寬魚國際,37.8,-0.3,-0.79,0.04,0.06,0.07,0.09,-0.02,0.01,0.07,0.09,-0.04,0.03,0.07,-0.05,0.1,2019Q1,,,,,,,,,,,,
6103,合邦,45.75,-1.5,-3.17,0.05,0,0,0.01,-0.01,0,0.03,0.05,-0.04,0.06,0.09,-0.01,0.4,2019Q1,,,,,,,,,,,,
6104,創惟,125.5,-4.5,-3.46,0.07,0.22,0.16,0.18,-0.11,-0.04,0.1,0.21,-0.25,0.19,0.07,-0.07,0.23,2019Q1,,,,,,,,,,,,
6111,大宇資,51,0,0,0.97,0.41,0.36,0.47,6.12,-0.14,-0.07,0.59,-0.37,1.1,0.17,0.37,2.61,2019Q1,,,,,,,,,,,,
6114,久威,32.5,-0.5,-1.52,0.27,0.39,0.56,0.89,-0.33,-0.03,0.32,0.57,-0.52,0.72,0.34,-0.28,0.63,2019Q1,,,,,,,,,,,,
6118,建達,16,-0.35,-2.14,0.02,0,0,-0.05,0.01,0.06,-0.01,-0.01,0.12,-0.01,0,-0.02,0.16,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6121,新普,337,-5.5,-1.61,3.93,2.89,4.21,5.07,3.45,2.14,4.9,6.03,1.67,4.07,5.54,3.24,3.99,2019Q1,,,,,,,,,,,,
6122,擎邦,44.85,0,0,0.06,0.08,0.09,0.09,-0.02,0.05,-0.04,0.21,-0.02,0.09,0.07,0.02,0.1,2019Q1,,,,,,,,,,,,
6123,上奇,52,-0.3,-0.57,0.13,-0.01,0.12,0.19,0.11,0.09,0.16,0.19,0.13,0.05,0.17,0.19,0.11,2019Q1,,,,,,,,,,,,
6126,信音,22.4,-0.5,-2.18,0.16,0.12,0.35,0.28,-0.13,-0.09,0.06,0.07,0.3,0.16,0.36,-0.13,0.59,2019Q1,,,,,,,,,,,,
6134,萬旭,19.9,-0.55,-2.69,0.08,0.24,0,0.23,-0.05,-0.03,0.01,0.22,-0.04,0.1,0.03,0.18,0.11,2019Q1,,,,,,,,,,,,
6138,茂達,149,-4.5,-2.93,0.28,0.53,0.5,0.49,-0.07,-0.03,0.35,0.43,-0.26,0.52,0.35,0.08,0.44,2019Q1,,,,,,,,,,,,
6140,訊達,36.9,+3.35,+9.99,0.07,0.08,0.1,0.35,-0.11,-0.04,-0.12,0.28,-0.12,0.25,0.1,0.12,-0.02,2019Q1,,,,,,,,,,,,
6143,振曜,105,-5,-4.55,0.44,0.64,0.68,1.31,-0.79,0.1,0.75,1.12,-1,1.21,0.57,-0.09,0.75,2019Q1,,,,,,,,,,,,
6146,耕興,176,-2.5,-1.4,0.41,0.3,0.63,0.88,0.37,0.16,0.21,0.72,0.09,0.51,0.47,-0.05,0.6,2019Q1,,,,,,,,,,,,
6147,頎邦,58,-0.8,-1.36,4.53,3.97,7.75,6.88,-0.79,-0.14,7.29,5.42,1.79,11.8,4.81,2.34,3.23,2019Q1,,,,,,,,,,,,
6148,驊宏資,65.3,+5.9,+9.93,0.06,0.03,0.02,0.12,0.04,0.02,-0.02,0.1,0.03,0,0.06,0.22,0.05,2019Q1,,,,,,,,,,,,
6151,晉倫,28.65,-0.25,-0.87,0.01,0.02,0.01,0.03,0,0.01,0.08,0.03,0,0.02,0.03,0.01,-0.15,2019Q1,,,,,,,,,,,,
6154,順發,14,-0.25,-1.75,0.04,0,0.01,0,0.17,0.01,0.18,0.02,0.02,0.02,0.01,0.01,0.01,2019Q1,,,,,,,,,,,,
6156,松上,25,-0.15,-0.6,0.28,0.24,0.55,1,-0.22,-0.08,0.66,0.25,-0.3,0.35,0.48,-0.14,0.59,2019Q1,,,,,,,,,,,,
6158,禾昌,22.5,-0.05,-0.22,0.09,0,0.19,0.17,0.08,0.01,0.31,-0.02,0.18,-0.04,0.1,0.05,0.1,2019Q1,,,,,,,,,,,,
6161,捷波,43.75,-1.2,-2.67,0.13,0.15,0.17,0.15,0.08,0.04,0.14,0.14,0.02,0.24,0.19,0.05,0.17,2019Q1,,,,,,,,,,,,
6163,華電網,19.35,+0.1,+0.52,0.09,0.13,0.14,0.1,0.09,0,0.16,0.13,0.28,0.06,0.11,-0.11,-0.02,2019Q1,,,,,,,,,,,,
6167,久正,10.35,0,0,0.34,0.26,0.42,0.58,-0.01,0.07,0.6,0.51,0.27,0.28,0.28,0.31,0.48,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6170,統振,49.6,+0.1,+0.2,0.3,0.19,0.59,0.32,-0.01,0.13,0.31,0.85,-0.24,0.56,0.39,-0.06,0.59,2019Q1,,,,,,,,,,,,
6171,大城地產,34.5,-0.6,-1.71,0.01,0.01,0,0,0.02,0,0.03,0,0.03,0,0.02,0,0.04,2019Q1,,,,,,,,,,,,
6173,信昌電,34.35,-1.3,-3.65,0.27,0.2,-0.1,0.58,-0.55,0.64,0.65,0.77,-0.32,0.62,0.72,-0.18,0.25,2019Q1,,,,,,,,,,,,
6174,安碁,17.75,-0.45,-2.47,0.06,0.05,0.12,0.12,-0.04,-0.02,0.05,0.04,-0.04,0.19,0.01,0.21,0.05,2019Q1,,,,,,,,,,,,
6175,立敦,31.85,-1.25,-3.78,0.15,0.2,0.2,0.3,-0.21,-0.06,0.15,0.3,-0.38,0.37,0.36,0.02,0.55,2019Q1,,,,,,,,,,,,
6180,橘子,70.6,0,0,1.61,-0.75,0.04,0.13,0.07,0.05,0.08,0.06,0.29,0.12,18.6,0.43,0.11,2019Q1,,,,,,,,,,,,
6182,合晶,19.55,-0.25,-1.26,0.49,0.16,0.08,4.74,-1.26,-0.3,0.42,1.37,-0.64,0.53,0,-0.08,0.81,2019Q1,,,,,,,,,,,,
6185,幃翔,16.2,-0.15,-0.92,0.26,0.06,0.01,0.28,0.31,0.17,0.47,0.25,0.3,0.47,0.39,0.14,0.31,2019Q1,,,,,,,,,,,,
6186,新潤,60.9,-0.7,-1.14,0.04,0,0.01,0,0.02,0.01,0.05,-0.03,0.04,-0.01,0.08,0.11,0.16,2019Q1,,,,,,,,,,,,
